stato,inizio,fine,sindacati,settore,categoria,modalita,rilevanza,note,data_proclamazione,regione,provincia,data_ricezione,inizio_iso,fine_iso
Effettuato,31/01/2022,31/01/2022,OSR FILT-CGIL/FIT-CISL/UILT-UIL/UGL FERROVIERI/FAST/ORSA,Ferroviario,PERSONALE SOC. MERCITALIA RAIL DELLA REGIONE TOSCANA,8 ORE: DALLE 9.01 ALLE 17.00,Regionale,null,17/01/2022,Toscana,Tutte,17/01/2022 11:47,2022-01-31,2022-01-31
Effettuato,30/01/2022,31/01/2022,RSU 1A PDM/RSU 1B PDB,Ferroviario,PERSONALE MOBILE SOC. TRENORD REGIONE LOMBARDIA,23 ORE: DALLE 03.00 DEL 30/1 ALLE 02.00 DEL 31/1,Regionale,ESCLUSO SERVIZIO LUNGA PERCORRENZA,30/12/2021,Lombardia,Tutte,30/12/2021 10:22,2022-01-30,2022-01-31
"Revocato (include le azioni di revoca, sospensione e differimento)",26/01/2022,26/01/2022,OSR FILT-CGIL/FIT-CISL/UILT-UIL/UGL/FAISA-CISAL,Trasporto pubblico locale,PERSONALE SOC. MOVIBUS DI S. VITTORE OLONA (MI),4 ORE: DALLE 08.30 ALLE 12.30/DALLE 08.45 ALLE 12.45,Locale,null,31/12/2021,Lombardia,Milano,31/12/2021 17:35,2022-01-26,2022-01-26
Effettuato,21/01/2022,21/01/2022,OSR FILT-CGIL/FIT-CISL/UILT-UIL/UGL/SLM-FAST,Ferroviario,PERSONALE SOC. RFI SETTORE CIRCOLAZIONE REGIONE PIEMONTE,8 ORE: DALLE 9.00 ALLE 16.59,Regionale,null,14/12/2021,Piemonte,Tutte,14/12/2021 16:23,2022-01-21,2022-01-21
"Revocato (include le azioni di revoca, sospensione e differimento)",21/01/2022,21/01/2022,OSR UILT-UIL/FAISA-CISAL,Trasporto pubblico locale,PERSONALE OPERATORE DI ESERCIZIO SOC.  FSE - FERROVIE SUD EST E S.A. DI BARI,4 ORE: DALLE 18.00 ALLE 22.00,Locale,null,14/12/2021,Puglia,Bari,14/12/2021 13:23,2022-01-21,2022-01-21
Effettuato,18/01/2022,18/01/2022,OSR CUB TRASPORTI,Aereo,PERSONALE SOC. SEA PRESSO AEROPORTI DI MILANO LINATE E MALPENSA,4 ORE: DALLE 12.00 ALLE 16.00,Nazionale,null,29/12/2021,Italia,Tutte,29/12/2021 12:02,2022-01-18,2022-01-18
"Revocato (include le azioni di revoca, sospensione e differimento)",18/01/2022,18/01/2022,OSR FILT-CGIL/FIT-CISL/UILT-UIL/UGL-TA,Aereo,PERSONALE GRUPPO AVIATION SERVICES DEGLI AEROPORTI DI ROMA FIUMICINO E CIAMPINO,24 ORE: DALLE 00.01 ALLE 24.00,Nazionale,null,23/11/2021,Italia,Tutte,23/11/2021 11:52,2022-01-18,2022-01-18
Effettuato,18/01/2022,18/01/2022,OSR FILT-CGIL/FIT-CISL/UILT-UIL/UGL-TA,Aereo,PERSONALE SOC. SEA PRESSO AEROPORTI DI MILANO LINATE E MALPENSA,4 ORE: DALLE 12.00 ALLE 16.00,Nazionale,null,30/12/2021,Italia,Tutte,30/12/2021 21:46,2022-01-18,2022-01-18
Effettuato,18/01/2022,18/01/2022,RSA UGL-TA/UNICA,Aereo,PERSONALE SOC. ENAV APT REGGIO CALABRIA,24 ORE: DALLE 00.01 ALLE 24.00,Locale,null,16/11/2021,Calabria,Reggio Calabria,16/11/2021 18:37,2022-01-18,2022-01-18
Effettuato,18/01/2022,18/01/2022,USB LAVORO PRIVATO/FLAI TS/ADL,Aereo,PERSONALE SOC. SEA PRESSO AEROPORTI DI MILANO LINATE E MALPENSA,4 ORE: DALLE 12.00 ALLE 16.00,Nazionale,null,28/12/2021,Italia,Tutte,28/12/2021 12:38,2022-01-18,2022-01-18
Effettuato,14/01/2022,14/01/2022,FILT-CGIL/FIT-CISL/UILT-UIL/UGL-FNA/FAISA-CISAL,Trasporto pubblico locale,PERSONALE ADDETTO AL TRASPORTO PUBBLICO LOCALE,4 ORE CON MODALITA' TERRITORIALI,Nazionale,"ESCLUSIONE DEL PERSONALE DELLE SOCC. EAV DI NAPOLI, MOVIBUS DI S. VITTORE OLONA (MI) E LIROSI AUTOSERVIZI DI GIOIA TAURO (RC)",27/12/2021,Italia,Tutte,27/12/2021 17:58,2022-01-14,2022-01-14
Effettuato,14/01/2022,14/01/2022,OSP FAISA-CISAL,Trasporto pubblico locale,PERSONALE SOC. COTRAL REGIONE LAZIO,4 ORE: DALLE 8.30 ALLE 12.30,Regionale,null,31/12/2021,Lazio,Tutte,31/12/2021 10:35,2022-01-14,2022-01-14
Effettuato,14/01/2022,14/01/2022,OSP FAISA-CISAL,Trasporto pubblico locale,PERSONALE SOC. BUSITALIA VENETO DI PADOVA,4 ORE: URBANO DALLE 18.00 ALLE 22.00 ED EXTRAURBANO DALLE 17.00 ALLE 21.00,Locale,null,03/01/2022,Veneto,Padova,03/01/2022 11:53,2022-01-14,2022-01-14
Effettuato,14/01/2022,14/01/2022,OSP UGL AUTOFERRO,Trasporto pubblico locale,PERSONALE DELLA SOC. LA PANORAMICA DI CHIETI,4 ORE: DALLE 18.00 ALLE 22.00,Locale,null,13/12/2021,Abruzzo,Chieti,13/12/2021 16:39,2022-01-14,2022-01-14
Effettuato,14/01/2022,14/01/2022,OSR FAISA-CISAL,Trasporto pubblico locale,PERSONALE SOC. SEGESTA AUTOLINEE DI PALERMO,4 ORE: DALLE 09.30 ALLE 13.30,Locale,null,02/01/2022,Sicilia,Palermo,03/01/2022 15:54,2022-01-14,2022-01-14
